,,Profile dimensions,,,,,Area properties,,,,,Inertia properties about major axis y-y,,,,Inertia properties about minor axis z-z,,,,Torsional & warping properties,,,,Axial force & shear resistance,,,Bending major axis y-y,,Bending minor axis z-z,,Buckling curve,,Section classification,,
Profile,Drawing,Depth,Width,Web thickness,Flange thickness,Root radius,Weight,Perimeter,Area,Shear area z-z,Shear area y-y,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Torsion constant,Torsion modulus,Warping constant,Warping modulus,Design plastic axial force resistance,Design plastic shear force resistance z-z,Design plastic shear force resistance y-y,Design elastic bending moment resistance,Design plastic bending moment resistance,Design elastic bending moment resistance,Design plastic bending moment resistance,Buckling about major axis y-y,Buckling about minor axis z-z,Web in pure bending about major axis y-y,Web in pure uniform compression,Flanges in uniform compression due to axial force or bending moment
,,h,b,tw,tf,r,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,Iw,Ww,"Npl,Rd","Vpl,Rd,z","Vpl,Rd,y","Mel,Rd,y","Mpl,Rd,y","Mel,Rd,z","Mpl,Rd,z",,,,,
,,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×103 mm4],[×103 mm3],[×106 mm6],[×103 mm4],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm],,,,,
,,,,,,,,,,(for η=1.2),,,,,,,,,,,,,,,,,,,,,,,,,
UB305x165x46,dxf,307,166,6.7,11.8,9,46.1,1.247,5875,2275,3911,98.99,129.8,645.7,720,8.957,39,108.1,165.5,222,33.13,195000,15970,2085.49,466.35,801.5,229.23,255.62,38.38,58.76,a,b,1,4,1
UB305x165x54,dxf,310,167,7.9,13.7,9,54,1.257,6877,2683,4573,117,130.4,753.6,846.1,10.63,39.3,127.4,195.6,348,44.05,234000,18900,2441.25,549.87,937.29,267.53,300.36,45.22,69.45,a,b,1,3,1
UB356x171x45,dxf,351,171,7,9.7,13,45.4,1.351,5782,2789,3319,122,145.2,694.1,782.6,8.114,37.5,94.84,146.9,169,24.14,237000,16210,2052.54,571.59,680.33,246.4,277.82,33.67,52.16,a,b,1,4,1
UB356x171x51,dxf,355,172,7.4,11.5,13,51.3,1.359,6540,2972,3944,142.7,147.7,803.7,904,9.686,38.5,113,174.6,251,33.92,286000,19420,2321.61,609.23,808.46,285.3,320.91,40.1,61.97,a,b,1,4,1
UB356x171x57,dxf,358,172,8.1,13,13,57.3,1.367,7305,3263,4477,161.7,148.8,903.2,1018,11.09,39,128.8,199.1,349,43.09,330000,22220,2593.22,668.81,917.64,320.64,361.43,45.71,70.7,a,b,1,4,1
UB356x171x67,dxf,363,173,9.1,15.7,13,67.5,1.38,8598,3701,5438,195.9,151,1078,1219,13.62,39.8,157.3,243.4,577,63.41,412000,27370,3052.34,758.62,1114.67,382.78,432.68,55.85,86.4,a,b,1,3,1
UB406x140x39,dxf,398,142,6.4,8.6,13,39.4,1.329,5015,2925,2439,126.8,159,637.2,732.8,4.101,28.6,57.84,91.2,116,18.12,155000,11230,1780.16,599.41,499.89,226.19,260.16,20.53,32.37,a,b,1,4,1
UB406x140x46,dxf,403,142,6.8,11.2,13,46.4,1.34,5913,3107,3185,158.6,163.8,786.5,896.8,5.384,30.2,75.72,118.5,202,29.71,207000,14850,2099.18,636.88,652.85,279.21,318.36,26.88,42.07,a,b,1,4,1
UB406x140x53,dxf,407,143,7.9,12.9,13,53.7,1.349,6844,3610,3697,184.5,164.2,907.7,1040,6.35,30.5,88.62,139.3,304,38.48,246000,17440,2429.59,739.9,757.76,322.24,369.25,31.46,49.46,a,b,1,4,1
UB406x178x54,dxf,403,178,7.7,10.9,13,54.5,1.479,6944,3519,3874,188.9,164.9,938.6,1064,10.22,38.4,115,178.7,243,31.56,392000,22530,2465.29,721.17,793.98,333.19,377.65,40.82,63.43,a,b,1,4,1
