"Eurocode 3 (in accordance with the UK National Annex) (BS EN 1993-1-1: 2005+A1: 2014, BS EN 10365: 2017)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Universal columns (UC), Axial compression with S355",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Section designation,,,,"Compression resistance Nb,y,Rd, Nb,z,Rd, Nb,T,Rd (kN) for buckling lengths (m)",,,,,,,,,,,,,,,,
356 x 406,x 467,,"Nb,y,Rd",19900,19900,19900,19900,19800,19500,19300,18700,18200,17500,16900,16100,15300,14400,13500,12600,11700
,,,"Nb,z,Rd",19900,19900,19600,18900,18300,17700,17100,15700,14300,12800,11300,9980,8760,7690,6770,5990,5320
,,,"Nb,T,Rd",19900,19900,19700,19400,19100,18800,18600,18400,18200,18100,18000,17900,17900,17800,17800,17800,17800
356 x 406,x 393,,"Nb,y,Rd",16800,16800,16800,16800,16600,16400,16200,15700,15200,14700,14100,13400,12700,12000,11200,10400,9590
,,,"Nb,z,Rd",16800,16800,16400,15900,15400,14800,14300,13100,11900,10600,9370,8220,7190,6300,5540,4900,4340
,,,"Nb,T,Rd",16800,16800,16500,16200,15900,15600,15400,15100,14900,14800,14700,14600,14600,14500,14500,14500,14400
356 x 406,x 340,,"Nb,y,Rd",14500,14500,14500,14500,14400,14200,14000,13600,13100,12600,12100,11500,10900,10200,9510,8810,8120
,,,"Nb,z,Rd",14500,14500,14200,13700,13300,12800,12300,11300,10200,9100,8020,7020,6140,5370,4720,4170,3700
,,,"Nb,T,Rd",14500,14500,14200,13900,13600,13400,13200,12800,12600,12500,12300,12200,12200,12100,12100,12000,12000
356 x 406,x 287,,"Nb,y,Rd",12600,12600,12600,12600,12500,12300,12100,11700,11300,10900,10400,9870,9290,8670,8040,7410,6800
,,,"Nb,z,Rd",12600,12600,12300,11900,11500,11100,10600,9720,8740,7750,6800,5930,5170,4510,3960,3490,3090
,,,"Nb,T,Rd",12600,12600,12300,12000,11700,11400,11200,10900,10600,10400,10300,10200,10100,9990,9940,9900,9860
356 x 406,x 235,,"Nb,y,Rd",10300,10300,10300,10300,10200,10000,9880,9570,9230,8860,8460,8010,7530,7010,6490,5970,5470
,,,"Nb,z,Rd",10300,10300,10000,9700,9370,9020,8660,7900,7100,6280,5500,4790,4170,3640,3180,2800,2480
,,,"Nb,T,Rd",10300,10300,10000,9710,9440,9200,8980,8620,8330,8100,7920,7790,7680,7590,7520,7460,7410
356 x 368,x 202,,"Nb,y,Rd",8870,8870,8870,8860,8740,8610,8480,8210,7910,7590,7230,6840,6420,5970,5510,5060,4630
,,,"Nb,z,Rd",8870,8860,8560,8250,7940,7620,7290,6580,5840,5100,4410,3800,3290,2850,2490,2180,1930
,,,"Nb,T,Rd",8870,8820,8540,8270,8020,7800,7600,7240,6960,6740,6560,6420,6310,6220,6150,6090,6040
356 x 368,x 177,,"Nb,y,Rd",7800,7800,7800,7790,7680,7560,7450,7200,6940,6650,6330,5980,5590,5190,4780,4390,4010
,,,"Nb,z,Rd",7800,7790,7520,7250,6970,6690,6390,5760,5110,4460,3850,3320,2860,2480,2170,1900,1680
,,,"Nb,T,Rd",7800,7750,7490,7240,7010,6800,6600,6240,5950,5700,5510,5360,5230,5130,5050,4980,4920
356 x 368,x 153,,"Nb,y,Rd",6730,6730,6730,6720,6620,6520,6420,6210,5980,5720,5440,5140,4800,4460,4100,3760,3430
,,,"Nb,z,Rd",6730,6710,6480,6250,6010,5760,5500,4960,4390,3820,3300,2840,2450,2120,1850,1630,1440
,,,"Nb,T,Rd",6730,6670,6440,6220,6010,5810,5620,5270,4970,4710,4510,4340,4200,4090,4000,3920,3860
356 x 368,x 129,,"Nb,y,Rd",5660,5660,5660,5640,5560,5480,5390,5210,5010,4800,4550,4290,4000,3700,3400,3110,2840
,,,"Nb,z,Rd",5660,5640,5450,5250,5050,4840,4620,4160,3670,3200,2760,2370,2040,1770,1540,1350,1200
,,,"Nb,T,Rd",5660,5610,5410,5220,5030,4850,4670,4330,4040,3780,3560,3380,3240,3120,3020,2940,2870
305 x 305,x 283,,"Nb,y,Rd",12100,12100,12100,12000,11800,11600,11400,11000,10600,10100,9540,8930,8290,7620,6960,6330,5750
,,,"Nb,z,Rd",12100,11900,11400,10900,10400,9910,9360,8220,7070,5990,5060,4280,3650,3130,2710,2370,2080
,,,"Nb,T,Rd",12100,12000,11700,11400,11200,11100,11000,10800,10700,10700,10600,10600,10500,10500,10500,10500,10500
305 x 305,x 240,,"Nb,y,Rd",10600,10600,10600,10500,10300,10100,9960,9580,9170,8710,8200,7640,7050,6440,5860,5300,4790
,,,"Nb,z,Rd",10600,10400,9930,9500,9050,8580,8080,7050,6010,5070,4260,3590,3050,2620,2260,1970,1730
,,,"Nb,T,Rd",10600,10400,10100,9860,9660,9500,9380,9190,9070,8980,8920,8880,8850,8820,8810,8790,8780
305 x 305,x 198,,"Nb,y,Rd",8690,8690,8690,8610,8470,8320,8180,7860,7510,7120,6680,6200,5700,5190,4700,4250,3830
,,,"Nb,z,Rd",8690,8510,8160,7800,7420,7020,6610,5740,4880,4100,3440,2900,2460,2110,1820,1580,1390
,,,"Nb,T,Rd",8690,8540,8260,8020,7830,7660,7520,7310,7170,7070,6990,6940,6900,6870,6840,6820,6810
305 x 305,x 158,,"Nb,y,Rd",6930,6930,6930,6860,6740,6620,6500,6240,5950,5630,5260,4870,4460,4050,3650,3290,2960
,,,"Nb,z,Rd",6930,6780,6490,6190,5880,5560,5220,4520,3820,3200,2680,2250,1910,1630,1410,1230,1080
,,,"Nb,T,Rd",6930,6780,6530,6310,6120,5950,5800,5560,5390,5260,5170,5090,5040,5000,4960,4930,4910
305 x 305,x 137,,"Nb,y,Rd",6000,6000,6000,5930,5830,5720,5610,5380,5130,4840,4520,4170,3810,3450,3110,2790,2510
,,,"Nb,z,Rd",6000,5860,5610,5350,5080,4800,4500,3880,3280,2740,2290,1920,1630,1390,1200,1040,918
,,,"Nb,T,Rd",6000,5850,5630,5420,5240,5070,4920,4670,4480,4340,4230,4140,4080,4030,3990,3960,3930
305 x 305,x 118,,"Nb,y,Rd",5180,5180,5180,5110,5020,4930,4830,4630,4410,4160,3880,3570,3260,2950,2650,2380,2140
,,,"Nb,z,Rd",5180,5050,4830,4600,4370,4120,3860,3330,2800,2340,1950,1640,1380,1180,1020,889,780
,,,"Nb,T,Rd",5180,5030,4830,4640,4460,4300,4150,3890,3680,3520,3400,3300,3230,3170,3120,3080,3050
305 x 305,x 97,,"Nb,y,Rd",4370,4370,4370,4300,4220,4140,4060,3880,3680,3460,3210,2950,2670,2400,2160,1930,1730
,,,"Nb,z,Rd",4370,4240,4050,3860,3660,3440,3220,2750,2300,1910,1590,1330,1120,959,826,719,630
,,,"Nb,T,Rd",4370,4230,4050,3870,3700,3540,3390,3120,2900,2720,2580,2470,2380,2310,2260,2210,2170
